               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069633,            0.027013,            0.036227,             0.39878,             0.77852,             0.60496,             0.20524,             0.02004,           0.0077132,            0.012511,            0.070469,           0.0032813,           0.0032813
                   1,            0.044779,            0.016813,            0.023818,             0.80274,             0.95293,             0.91875,             0.57479,            0.012426,            0.004471,           0.0053314,            0.040461,           0.0066064,           0.0066064
                   2,            0.044583,            0.011514,            0.011875,             0.66191,             0.98611,             0.89537,             0.54721,            0.016009,           0.0031191,           0.0017473,            0.010444,           0.0099233,           0.0099233
                   3,            0.044151,            0.009917,           0.0071291,             0.91237,                   1,               0.995,               0.629,            0.011902,            0.002954,            0.001382,           0.0099629,           0.0099629,           0.0099629
                   4,             0.03871,           0.0092105,           0.0078793,             0.80627,             0.93247,             0.97057,             0.81283,            0.011095,           0.0028413,          0.00090206,           0.0099629,           0.0099629,           0.0099629
                   5,            0.036031,           0.0084398,           0.0072295,             0.87321,                   1,             0.99334,             0.74214,           0.0099523,           0.0027933,           0.0008506,           0.0099505,           0.0099505,           0.0099505
                   6,            0.032236,           0.0081756,           0.0046633,             0.87659,             0.98611,             0.97672,             0.80578,           0.0098006,           0.0022299,          0.00069086,           0.0099381,           0.0099381,           0.0099381
                   7,            0.032366,            0.007585,           0.0065959,             0.84192,                   1,               0.995,              0.7667,           0.0074468,            0.002619,           0.0027048,           0.0099258,           0.0099258,           0.0099258
                   8,            0.033667,           0.0076307,           0.0044731,             0.99515,             0.99653,             0.99497,             0.75045,            0.010224,            0.002014,          0.00051607,           0.0099134,           0.0099134,           0.0099134
                   9,            0.030896,           0.0070839,           0.0049286,             0.99295,             0.99298,               0.995,             0.91774,           0.0057919,           0.0017419,           0.0013436,            0.009901,            0.009901,            0.009901
                  10,            0.026929,           0.0068143,           0.0036346,             0.99846,                   1,               0.995,             0.89175,           0.0060035,           0.0017977,          0.00059483,           0.0098886,           0.0098886,           0.0098886
